112,61066,8
133,115034,7
532,97483,8
637,81930,7
464,85156,10
407,149719,4
491,129562,5
679,58100,9
162,77931,1
216,40357,3
574,93681,5
331,30462,8
689,101067,7
181,106348,5
384,70240,8
298,122546,1
287,111408,3
160,148671,6
662,141234,8
574,99622,9
548,110798,3
309,84272,3
469,109541,7
264,45191,3
487,142269,1
369,138614,10
669,70102,3
398,41200,6
588,85565,2
235,32938,4
443,29042,4
339,90654,9
693,76063,4
441,60660,7
102,139201,1
617,126736,4
484,91126,9
240,77493,9
276,142292,4
483,43570,2
534,52558,3
432,78433,9
541,148575,4
268,73212,3
214,57146,4
621,91747,7
447,138850,1
196,44993,7
208,94178,7
342,121752,2
111,101332,2
584,80941,2
281,83261,2
567,98102,1
576,100177,4
